model_name,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,balanced_accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,num_selected_features
svc,0.7858053960492984,0.02197297707526692,0.7727164036346246,0.7904761904761904,0.8137254901960784,0.8019323671497585,60,22,19,83,8
logistic_regression,0.7800940191997101,0.01840845355808955,0.7861071257771401,0.8118811881188119,0.803921568627451,0.8078817733990148,63,19,20,82,8
random_forest,0.7634513574350972,0.01114768510360161,0.7556193208990913,0.7735849056603774,0.803921568627451,0.7884615384615384,58,24,20,82,8
random_forest_tuned,0.7824753054834355,,0.7873027259684362,0.8181818181818182,0.7941176470588235,0.8059701492537313,64,18,21,81,8
