feature,ks_statistic,p_value,alpha,is_drifted,train_mean,drifted_mean,mean_difference
age,0.047180428859139915,0.8793062972398774,0.05,False,53.566757493188014,53.28804347826087,-0.27871401492714654
trestbps,0.7448074208509781,6.060841743415328e-77,0.05,True,132.30555555555554,172.23563218390805,39.93007662835251
chol,0.7998109365910413,5.187451790507462e-76,0.05,True,247.56195462478186,364.125,116.56304537521814
thalach,0.538747188037581,4.3543642021233804e-38,0.05,True,137.68413391557496,96.98863636363636,-40.6954975519386
oldpeak,0.7901785714285714,1.697417764007633e-87,0.05,True,0.9153273809523809,2.8813953488372093,1.9660679678848285
